store,item,avg_daily_demand,std_daily_demand,safety_stock,reorder_point,annual_holding_cost
1,1,22.49345280368188,5.23100952710021,14.90298948911115,82.38334790015679,14.90298948911115
1,2,59.955269463392185,14.15769549639647,40.334850487224294,220.20065887740083,40.334850487224294
1,3,37.68334935138683,8.84493444711459,25.198953359639077,138.2490014137996,25.198953359639077
1,4,22.44454795682431,5.118532248298493,14.58254509017406,81.91618896064699,14.58254509017406
1,5,19.182469421689454,4.139650545988625,11.793740434967448,69.34114870003582,11.793740434967448
1,6,59.87612625362568,12.620841542083172,35.956399595714146,215.5847783565912,35.956399595714146
1,7,59.26408948951255,13.640706031121908,38.86196298299544,216.6542314515331,38.86196298299544
1,8,78.4082321907724,17.552084505661572,50.005363122492746,285.23005969480994,50.00536312249275
1,9,52.09465731883659,11.558533852687054,32.929916801665705,189.21388875817547,32.929916801665705
1,10,75.27022967510855,16.55837166634984,47.17430500211746,272.9849940274431,47.17430500211746
1,11,71.54641443610475,16.082468745105416,45.81847183140738,260.45771513972164,45.81847183140738
1,12,71.74115631684927,16.816820778338627,47.910618782370534,263.1340877329184,47.910618782370534
1,13,85.34242564326718,18.40997369168821,52.44946372218416,308.47674065198566,52.44946372218417
1,14,59.920376485215776,13.84430854712563,39.4420204537839,219.20314990943123,39.4420204537839
1,15,90.0351328104739,19.2260956967668,54.77457087416078,324.87996930558245,54.77457087416079
1,16,26.28363031495036,5.872815530022038,16.73147557120297,95.58236651605407,16.73147557120297
1,17,33.4558841955933,7.553683536710623,21.5202181851262,121.8878707719061,21.5202181851262
1,18,85.6415988979482,19.393415479761,55.251259925167965,312.17605661901257,55.251259925167965
1,19,41.8032631409668,9.600697600159174,27.352099949743764,152.76188937264416,27.352099949743764
1,20,48.71423522150389,10.519118402977508,29.96865331292797,176.11135897743964,29.968653312927973
1,21,41.083585058752746,9.6050653190839,27.36454345015977,150.615298626418,27.36454345015977
1,22,81.50734477566168,18.15756694078821,51.73036444772181,296.2523987747068,51.73036444772181
1,23,30.285383899597477,6.757977787498843,19.253276334706342,110.10942803349877,19.253276334706342
1,24,67.28580545488407,14.583633531052172,41.548335192346876,243.4057515569991,41.54833519234688
1,25,81.71853450424615,18.05952618826188,51.451049279811116,296.60665279254954,51.451049279811116
1,26,49.17770204907703,11.227074447530242,31.985598882623922,179.518705029855,31.985598882623925
1,27,22.76915166965995,5.444132599151812,15.510170738966911,83.81762574794676,15.510170738966913
