store,item,avg_daily_demand,std_daily_demand
1,1,22.493452803681876,5.23100952710021
1,2,59.955269463392185,14.15769549639647
1,3,37.68334935138683,8.84493444711459
1,4,22.44454795682431,5.118532248298493
1,5,19.182469421689458,4.139650545988625
1,6,59.87612625362568,12.620841542083173
1,7,59.26408948951255,13.640706031121907
1,8,78.4082321907724,17.552084505661572
1,9,52.09465731883659,11.558533852687054
1,10,75.27022967510855,16.55837166634984
1,11,71.54641443610475,16.082468745105416
1,12,71.74115631684927,16.816820778338627
1,13,85.34242564326718,18.40997369168821
1,14,59.920376485215776,13.84430854712563
1,15,90.0351328104739,19.2260956967668
1,16,26.28363031495036,5.872815530022038
1,17,33.4558841955933,7.553683536710623
1,18,85.6415988979482,19.393415479761
1,19,41.8032631409668,9.600697600159174
1,20,48.714235221503884,10.519118402977508
1,21,41.083585058752746,9.6050653190839
1,22,81.50734477566168,18.157566940788215
1,23,30.285383899597473,6.757977787498843
1,24,67.28580545488407,14.583633531052172
1,25,81.71853450424615,18.05952618826188
1,26,49.17770204907703,11.227074447530242
1,27,22.76915166965995,5.444132599151812
1,28,89.21963831201404,20.23892237690563
1,29,71.30336572295765,15.612014274599487
1,30,41.88548843494058,9.701196779820405
1,31,59.91302584574255,13.55299138476298
1,32,45.28427549061541,10.113218992037659
1,33,71.24653435750332,15.686267621619727
1,34,26.45040353308062,5.748137452167818
1,35,67.08944674007802,14.595557941894539
1,36,77.81524197703854,17.43193442694331
1,37,29.814145376782662,7.014176716081698
1,38,83.04849407338654,18.16899683081512
1,39,44.931287876235835,10.23465274166704
1,40,30.020002256574152,6.673227320324432
1,41,22.85666266627811,5.008938340726838
1,42,37.35164688094922,8.322478632742284
1,43,52.358534196214876,12.344545407871413
1,44,30.736293246215876,6.986090609250737
1,45,81.23011693899346,17.800681376725095
1,46,59.84060953214633,13.167137214617059
1,47,23.005627753812874,5.5569058102196065
1,48,52.99354064582941,11.966979066338432
1,49,30.120371697090462,6.410720543592775
1,50,66.886402576171,14.582830814645778
2,1,31.723872015467595,7.454649475718557
2,2,84.01449927810728,18.86918967319852
2,3,53.67227728742773,11.360274890234525
2,4,32.07442524346118,7.062316773085696
2,5,26.672731828684856,6.191665713807063
2,6,84.01796018048914,18.02609708883072
2,7,84.23408923073325,18.831458541735767
2,8,109.54893977363584,23.936667515816584
2,9,73.76825750997337,16.02033780305771
2,10,105.14864554650353,23.215827482057943
2,11,100.6631779478935,22.224387218825886
2,12,100.00761751170144,22.352420747923656
2,13,118.36968896224056,26.063029950222763
2,14,84.85510579158077,18.285252233720776
